,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups,cluster_id
956,363,17416,18TH STREET NW AND D STREET NW//D STREET NW AND 18TH STREET NW,-77.04172983,38.89433348,1015,1021,109,42,191,188,332,336,278,335,105,120,136
957,7577,33,THOMAS CIRCLE NW AND HIGHLAND TERRACE NW//HIGHLAND TERRACE NW AND THOMAS CIRCLE NW,-77.03221307,38.90593941,1085,1019,197,334,167,185,244,132,312,249,165,119,2413
958,4880,16380,17TH STREET NW AND T STREET NW//T STREET NW AND 17TH STREET NW,-77.03847937,38.91557509,1286,1019,78,214,195,115,291,205,492,323,230,162,2054
959,3797,13174,HARVARD STREET NW AND 13TH STREET NW//13TH STREET NW AND HARVARD STREET NW,-77.0297073,38.92674212,1223,1018,105,203,188,189,270,203,420,233,240,190,5459
960,196,16754,CONNECTICUT AVENUE NW AND GARFIELD STREET NW//GARFIELD STREET NW AND CONNECTICUT AVENUE NW,-77.05328044,38.92656943,1161,1018,74,116,186,152,335,266,339,328,227,156,1930
961,4870,14454,34TH STREET NW AND N STREET NW//N STREET NW AND 34TH STREET NW,-77.06781227,38.90676591,1415,1018,78,42,247,142,364,220,509,380,217,234,2634
962,8309,11656,4TH STREET NW AND M STREET NW//M STREET NW AND 4TH STREET NW,-77.01617384,38.90564627,1129,1012,39,157,158,135,236,225,419,305,277,190,6593
963,4961,13216,PENNSYLVANIA AVENUE SE AND 8TH STREET SE//8TH STREET SE AND PENNSYLVANIA AVENUE SE,-76.99496607,38.8841842,886,1011,173,175,179,214,202,234,251,280,81,108,6577
964,6406,18667,BRENTWOOD ROAD NE AND W STREET NE//W STREET NE AND BRENTWOOD ROAD NE,-76.99138092,38.91927128,1088,1010,90,69,213,147,304,279,330,334,151,181,6406
965,4105,17365,COLUMBIA ROAD NW AND MOZART PLACE NW//MOZART PLACE NW AND COLUMBIA ROAD NW,-77.03797045,38.92563629,1149,1008,87,126,148,133,257,211,437,355,220,183,4105
966,1404,18364,6TH STREET NE AND CONSTITUTION AVENUE NE//CONSTITUTION AVENUE NE AND 6TH STREET NE,-76.99845009,38.89201511,1163,1004,61,197,154,163,246,164,526,345,176,135,3065
967,2797,13680,13TH STREET NW AND Q STREET NW//Q STREET NW AND 13TH STREET NW,-77.02962112,38.91112674,1150,1001,77,111,154,213,227,199,463,281,229,197,7060
968,3885,15778,K STREET NW AND 1ST TERRACE NW//1ST TERRACE NW AND K STREET NW,-77.01123658,38.902516799999994,1210,999,104,115,214,161,277,235,416,346,199,142,2841
969,2358,14891,GARFIELD CIRCLE SW AND 1ST STREET SW//1ST STREET SW AND GARFIELD CIRCLE SW,-77.01239433,38.88920117,1185,999,60,24,374,227,507,459,199,246,45,43,2227
970,948,16002,NEW YORK AVENUE NE AND FENWICK STREET NE//FENWICK STREET NE AND NEW YORK AVENUE NE,-76.9852064,38.91561287,1102,998,69,38,277,213,320,310,308,300,128,137,8208
971,5706,16639,PORTER STREET NW AND QUEBEC STREET NW//QUEBEC STREET NW AND PORTER STREET NW,-77.05876411,38.93679767,880,995,184,109,133,177,197,264,260,343,106,102,4271
972,5606,14444,14TH STREET NW AND UPSHUR STREET NW//UPSHUR STREET NW AND 14TH STREET NW,-77.03272723,38.94186733,734,994,59,137,106,211,218,251,230,254,121,141,5606
973,7663,16621,MONROE STREET NW AND 11TH STREET NW//11TH STREET NW AND MONROE STREET NW,-77.02848796,38.93279123,1047,992,105,128,250,246,255,258,276,223,161,137,7663
974,155,13392,13TH STREET NW AND FAIRMONT STREET NW//FAIRMONT STREET NW AND 13TH STREET NW,-77.02971132,38.92475578,1119,991,68,175,124,104,273,167,412,348,242,197,4084
975,168,15856,CONNECTICUT AVENUE NW AND FLORIDA AVENUE NW//FLORIDA AVENUE NW AND CONNECTICUT AVENUE NW,-77.04616603,38.91437933,1464,990,208,119,236,168,319,201,477,303,224,199,515
976,7305,14474,3RD STREET NE AND G STREET NE//G STREET NE AND 3RD STREET NE,-77.00203815,38.89891353,1342,989,109,126,178,142,356,257,487,318,212,146,755
977,4341,16347,MONROE STREET NE AND 9TH STREET NE//9TH STREET NE AND MONROE STREET NE,-76.99369087,38.93240474,276,988,70,170,50,247,68,232,66,275,22,64,1580
978,6206,-531,I STREET SE AND INTERSTATE 395 INTERSTATE,-77.00886998,38.87928676,1294,987,55,144,160,115,340,215,487,315,252,198,6206
979,7715,-169,33RD STREET NW UNDER WHITEHURST FREEWAY NW,-77.06597709,38.90343895,1298,986,27,16,165,107,363,241,474,391,269,231,2634
980,7665,13926,Q STREET NW AND 11TH STREET NW//11TH STREET NW AND Q STREET NW,-77.02703806,38.91112097,1088,986,80,224,148,141,239,164,440,283,181,174,6891
981,3806,14887,HARVARD STREET NW AND 15TH STREET NW//15TH STREET NW AND HARVARD STREET NW,-77.03548373,38.92632549,1205,985,97,134,168,153,258,220,449,276,233,202,4105
982,1888,14931,18TH STREET NW AND CHURCH STREET NW//CHURCH STREET NW AND 18TH STREET NW,-77.04166896,38.91038709,1135,984,93,80,148,100,252,192,441,419,201,193,1786
983,5204,13523,MAINE AVENUE SW AND 12TH STREET SW//12TH STREET SW AND MAINE AVENUE SW,-77.02810396,38.88283120000001,1336,982,145,51,232,179,410,293,407,355,142,104,5509
984,6545,-487,12TH STREET SW AND FRONTAGE ROAD SW,-77.02812437,38.88497539,1438,980,227,35,267,185,476,309,337,362,131,89,3939
985,1468,13595,13TH STREET NW AND V STREET NW//V STREET NW AND 13TH STREET NW,-77.02962045,38.91811406,1670,980,204,135,250,134,324,213,535,300,357,198,2028
986,2280,13001,3RD STREET SW AND VIRGINIA AVENUE SW//VIRGINIA AVENUE SW AND 3RD STREET SW,-77.01518108,38.88403109,1086,978,262,64,234,190,319,297,231,378,40,49,3947
987,817,14199,L STREET NE AND 3RD STREET NE//3RD STREET NE AND L STREET NE,-77.00204267,38.90373075,1138,978,120,129,140,146,258,200,413,324,207,179,813
988,5514,17557,LAMONT STREET NW AND 17TH STREET NW//17TH STREET NW AND LAMONT STREET NW,-77.0388505,38.93138142,977,978,89,155,190,193,212,233,316,242,170,155,2458
989,518,15081,GEORGIA AVENUE NW AND TAYLOR STREET NW//TAYLOR STREET NW AND GEORGIA AVENUE NW,-77.02524043,38.94081152,671,978,74,118,147,203,152,242,200,270,98,145,518
990,4213,19173,SCOTT CIRCLE NW AND RHODE ISLAND AVENUE NW//RHODE ISLAND AVENUE NW AND SCOTT CIRCLE NW,-77.03618033,38.90734497,1268,977,164,146,230,151,278,204,394,304,202,172,2413
991,1816,17335,3RD STREET NW AND FLORIDA AVENUE NW//FLORIDA AVENUE NW AND 3RD STREET NW,-77.01517845,38.91340222,934,975,25,195,111,119,211,162,345,291,242,208,656
992,2653,18755,17TH STREET NW AND FULLER STREET NW//FULLER STREET NW AND 17TH STREET NW,-77.03908176,38.92467177,1169,975,70,135,177,120,243,215,447,321,232,184,4042
993,4741,906,I STREET SW AND I STREET SE//I STREET SW AND SOUTH CAPITOL STREET//I STREET SE AND SOUTH CAPITOL STREET//SOUTH CAPITOL STREET AND I STREET SW//SOUTH CAPITOL STREET AND I STREET SE//I STREET SE AND I STREET SW,-77.00905829999998,38.87928593,1297,973,60,116,130,105,324,192,516,360,267,200,6206
994,8204,11048,MARYLAND AVENUE NE AND NEAL STREET NE//NEAL STREET NE AND MARYLAND AVENUE NE,-76.98087868,38.90116453,1208,965,65,82,174,128,314,249,482,341,173,165,8204
995,2319,17605,P STREET NW AND 1ST STREET NW//1ST STREET NW AND P STREET NW,-77.01216331,38.90964024,1210,965,78,226,134,121,236,152,528,299,234,167,2319
996,5746,14019,MASSACHUSETTS AVENUE NW AND L STREET NW//L STREET NW AND MASSACHUSETTS AVENUE NW,-77.02752594,38.90411404,745,962,71,243,122,151,205,182,253,294,94,92,2026
997,5582,18235,SHEPHERD STREET NW AND GEORGIA AVENUE NW//GEORGIA AVENUE NW AND SHEPHERD STREET NW,-77.0249638,38.93974392,900,960,107,100,179,195,207,236,269,279,138,150,5709
998,5707,17521,14TH STREET NW AND QUINCY STREET NW//QUINCY STREET NW AND 14TH STREET NW,-77.03272933,38.93790035,824,959,17,148,110,165,186,218,291,235,220,193,2814
