,cluster_ids,c_len,all_c_pickups,all_c_dropoffs,all_phhi,all_dhhi,all_hhi_ratio,morning_c_pickups,morning_c_dropoffs,morning_phhi,morning_dhhi,morning_hhi_ratio,late_morning_c_pickups,late_morning_c_dropoffs,late_morning_phhi,late_morning_dhhi,late_morning_hhi_ratio,afternoon_c_pickups,afternoon_c_dropoffs,afternoon_phhi,afternoon_dhhi,afternoon_hhi_ratio,evening_c_pickups,evening_c_dropoffs,evening_phhi,evening_dhhi,evening_hhi_ratio,late_evening_c_pickups,late_evening_c_dropoffs,late_evening_phhi,late_evening_dhhi,late_evening_hhi_ratio
10,2157,9,96885,93636,1681.9589318591673,1604.4426752964212,1.0483135095795335,3688,5147,2114.4763341034536,1551.7128461317693,1.3626724425041559,23056,28439,1926.5368985437378,1865.5394879991852,1.032696928120226,41723,39213,1858.2512002098308,1703.5127043146836,1.0908349526852503,24151,16913,1587.753181562058,1548.1615705563256,1.0255733069200945,4267,3924,1885.6860019083567,1992.359156283349,0.9464588731210561
11,6625,7,49571,46848,2937.638901143215,2680.567431248414,1.09590188513746,2627,3061,2952.7125199369552,3023.5425366454347,0.9765738315733887,10199,9962,2961.137968602668,2731.261951408123,1.0841647638653007,18078,17803,2982.53492649356,2670.920501364,1.1166692999549868,14977,12443,3016.0485689907136,2699.0520961068287,1.117447333951474,3690,3579,3117.7635299388226,3076.6655104701363,1.01335797451131
12,2464,7,65304,57248,2427.7505409767114,2494.0928440830407,0.9734002271552484,2019,3581,2166.802694854553,1802.4704682264153,1.2021293735739433,16412,13867,2421.0266035878835,2579.959189404287,0.9383972481157343,22259,19500,2348.129123267612,2529.4687179487178,0.9283092163210607,17770,14350,2480.8404394423965,2621.6530976459585,0.9462885999944077,6844,5950,2735.913764581023,2620.9629263470088,1.0438582465545316
13,5667,14,86990,82109,1477.4431818459632,1324.7952128025015,1.1152238229488667,11299,7230,1242.0477644093344,1155.6431726573423,1.0747675353399173,14878,13803,1483.829198004052,1344.6172211328253,1.1035327933357435,18415,18378,1547.5336815120718,1317.3601641853882,1.17472330163332,26888,28926,1469.4276902187887,1332.202255578348,1.1030064572146119,15510,13772,1632.4626569410307,1432.1030585741871,1.1399058518639875
14,2670,11,60573,62480,1445.9977777220745,1365.7368462901725,1.0587674936426583,3574,9594,1399.00055396041,1336.2605154731332,1.0469519511807637,14684,14962,1529.12364434563,1422.4912263140766,1.074961740402334,19843,19548,1569.105031824826,1477.3714053006163,1.0620924611069913,17871,14012,1344.955437181609,1315.9953879913219,1.022006193528148,4601,4364,1311.3064588502893,1259.3916898614696,1.0412220990552434
15,2028,12,66458,57331,1626.2048712273804,1346.7368336366042,1.2075149580903097,11773,5198,1867.1695581430683,1629.6512658181935,1.1457479261402745,11444,8847,1719.617807291858,1389.1788808575263,1.237866361911833,13673,12154,1607.2497291521886,1378.356427384412,1.1660624909640591,18335,20053,1573.35434240589,1298.8248821269922,1.2113675708378182,11233,11079,1476.6056685763338,1312.5023926784474,1.1250308394204127
16,6606,8,62623,62201,1741.2155744492588,1573.2212341955847,1.1067836719986637,3080,4635,2514.6546635183,1623.499730603762,1.5489098126201273,10692,13167,2031.8333464195375,1645.981269561752,1.2344206972419072,20374,19305,1725.8152589763722,1573.6807170114603,1.0966743382697266,19868,18612,1657.5150979350772,1580.3650637731598,1.0488178560324029,8609,6482,1749.2121453989785,1670.566420803495,1.0470772808648081
17,8076,14,122518,115605,883.3767971418923,840.9229162490378,1.05048486617801,9225,14677,1022.7944859394393,798.2552079903654,1.2812875828450392,25456,25154,896.0621432883194,875.7850322145979,1.0231530687644281,37138,35890,917.3137637119484,870.2797416426977,1.0540447166798017,38818,30320,869.1162960755407,839.616322115552,1.035135064889709,11881,9564,885.0903774525655,861.0626143871108,1.0279047802842505
18,2398,11,111429,112113,1018.2097393478896,1001.183530640937,1.0170060814884287,6093,11466,1047.684787538328,1081.901065828703,0.9683739305089174,24229,25871,1016.502207198313,1014.2530193331241,1.0022175806453775,35944,35396,1017.6707074669508,999.8820825813733,1.0177907227216763,34055,29196,1021.14291224127,1024.5886042228008,0.9966369995066025,11108,10184,1102.7541618747236,1088.5893587834591,1.0130120719782658
19,2413,18,68466,65312,1205.0026297120057,1079.1471814947542,1.116624914910055,11676,14804,1461.136919270926,1648.3513916253164,0.8864232024157227,15875,12720,1493.7942439084877,1218.4244096356952,1.2260048568422288,14825,14862,1300.4572627819218,1024.7661158837689,1.2690283593738794,20116,16595,1094.9649222815485,871.1489292478295,1.25692047079363,5974,6331,810.6330422568772,776.0174310576377,1.0446067444027147
20,142,9,95821,83505,1211.639720242733,1163.714631458979,1.0411828531567648,12232,16962,1307.2229356059713,1139.800263212771,1.1468877291897475,21128,18533,1178.2033449746311,1148.128720293194,1.0261944711859112,24411,21825,1163.9470612401435,1169.0425111759296,0.9956413476096257,30321,20624,1266.2726236348672,1259.188634615512,1.0056258362127912,7729,5561,1295.4553912009721,1241.741518056056,1.0432568874953985
21,3722,6,22409,20907,4629.997369321792,3701.276196109258,1.2509191759828124,3034,1112,4094.9832897997603,4402.884167486154,0.9300683674669118,3563,2749,4850.347409276856,3935.0358693878698,1.2326056407794246,5068,5177,4862.059105868164,3596.8354405111777,1.3517602309815915,7042,7902,4751.993173429902,3666.3350288054735,1.2961153675522517,3702,3967,4371.306587091651,3589.7611051192503,1.217715179112577
22,2162,7,38513,40171,3143.4831722691197,2942.315374644372,1.0683705762333728,1936,2137,3676.821511508777,2999.812339971652,1.2256838411243827,4923,6151,3209.2225554877637,3001.8143877643233,1.0690942679763464,11288,11576,3161.6061737256273,2972.104905461768,1.0637599527242856,13495,14193,3145.413455040297,2937.76251357536,1.0706833654883214,6871,6114,3069.234116096835,2914.1106887574633,1.0532318240133542
23,4329,12,36261,32188,2262.1866177961297,1776.5821021765544,1.2733363772069097,4885,2070,2231.515228976804,1910.0002333776747,1.1683324378607833,6368,5114,2536.53731124214,1887.672831059202,1.3437377862872826,7771,7437,2289.6635135853226,1777.0598833617748,1.2884560250461699,11083,11972,2167.3837696677474,1756.8525523805467,1.2336742583951785,6154,5595,2222.2214594131406,1759.1415161468847,1.263242006976538
24,2160,6,25976,28118,4003.361196504716,3497.5238303662322,1.144627282235134,1384,1170,3752.6625513715803,3667.9085397034114,1.0231069043163825,3245,3947,4268.5150320155935,3680.733873815386,1.1596912948207592,7054,8038,4202.716152417789,3637.2404009543866,1.155468346638574,9066,9907,3957.795540013478,3350.87923624909,1.181121509005427,5227,5056,3809.076351473594,3416.510399975966,1.1149026069115404
25,7584,11,95142,84105,1065.6299939501416,1025.1118191118285,1.0395256147504168,9485,17505,1384.3699051494623,1025.7872052062328,1.349568310194644,22180,18773,1038.6811813500656,1000.3746068009731,1.038292230019303,25358,21686,1035.9254808627636,1018.2591149939133,1.0173495779303248,30202,19573,1072.4865349509143,1100.0565073568112,0.9749376761816161,7917,6568,1159.4584900826817,1183.2537820399648,0.979889950644181
26,7727,6,35439,34423,2506.715148439456,2397.0249709806913,1.04576096569152,5218,3629,2497.4896725827875,2640.693850348692,0.9457702460484031,5249,5292,2579.1379000022544,2398.4319519358933,1.075343370872167,7427,7973,2437.613996102162,2346.5064088350737,1.0388269074927943,11962,11859,2521.298496344706,2499.917286400047,1.0085527669499212,5583,5670,2671.841083553425,2568.736099835453,1.0401384103741045
