,Unnamed: 0,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups
0,2946,2947,15378,14TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 14TH STREET NW,-77.03196384,38.89209354,44695,58491,2214,2186,13727,14075,18370,24204,7983,14231,2401,3795
1,356,357,14103,15TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 15TH STREET NW,-77.033653,38.89208985,35580,47173,2199,2821,9641,12670,12417,15445,7799,11524,3524,4713
2,1932,1933,17610,17TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 17TH STREET NW,-77.03948096,38.89210007,28619,35613,1204,1792,6269,8483,9931,11382,7975,9995,3240,3961
3,2383,2384,17878,12TH ST EXPRESSWAY AND 12TH STREET NW//12TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 12TH STREET NW//12TH STREET NW AND 12TH ST EXPRESSWAY NW//CONSTITUTION AVENUE NW AND 12TH ST EXPRESSWAY NW//12TH ST EXPRESSWAY AND CONSTITUTION AVENUE NW,-77.02813741,38.89208573,27999,33823,1501,976,8724,8205,11860,14487,4637,8296,1277,1859
4,1999,2000,13086,CONSTITUTION AVENUE NW AND 7TH STREET NW//7TH STREET NW AND CONSTITUTION AVENUE NW,-77.0219001,38.89207842,23664,33736,958,1092,6980,9174,9439,12430,4905,8539,1382,2501
5,2164,2165,13935,INDEPENDENCE AVENUE SW AND 14TH STREET SW//14TH STREET SW AND INDEPENDENCE AVENUE SW,-77.03195162,38.88756755,30958,33030,1788,1285,10119,9251,13070,14905,4822,6280,1159,1309
6,554,555,13315,23RD STREET NW AND I STREET NW//I STREET NW AND 23RD STREET NW,-77.05012836,38.90069897,20421,31492,2037,6063,2957,5321,5002,6271,7617,9779,2808,4058
7,2372,2373,18361,CONSTITUTION AVENUE NW AND 9TH STREET NW//9TH STREET NW AND CONSTITUTION AVENUE NW,-77.02396203,38.89207977,20908,29743,1204,819,6718,7751,8464,12272,3641,7242,881,1659
8,741,742,11502,COLUMBUS CIRCLE NE AND 1ST STREET NE//MASSACHUSETTS AVENUE NE AND COLUMBUS CIRCLE NE//1ST STREET NE AND COLUMBUS CIRCLE NE//COLUMBUS CIRCLE NE AND MASSACHUSETTS AVENUE NE//MASSACHUSETTS AVENUE NE AND 1ST STREET NE//1ST STREET NE AND MASSACHUSETTS AVENUE NE,-77.00777834,38.89686039,23733,29063,3467,4847,4008,5052,6644,6427,7902,10207,1712,2530
9,7548,7549,18018,CONSTITUTION AVENUE NW AND 10TH STREET NW//10TH STREET NW AND CONSTITUTION AVENUE NW,-77.02599044,38.89208227,22891,28440,1641,600,8163,7402,9831,13101,2793,6395,463,942
10,6076,6077,17724,LINCOLN MEMORIAL CIRCLE NW AND LINCOLN MEMORIAL CIRCLE SW,-77.04896387,38.88932081,32450,27933,1215,728,7565,5644,11404,9969,8731,8411,3535,3181
11,3802,3803,17763,IRVING STREET NW AND 14TH STREET NW//14TH STREET NW AND IRVING STREET NW,-77.03264109,38.92880696,19368,26275,2915,4300,3509,5290,4560,6020,5580,7100,2804,3565
12,4207,4208,15519,7TH STREET NW AND H STREET NW//H STREET NW AND 7TH STREET NW,-77.02191443,38.89981347,22041,25450,1494,2066,3920,4155,6182,7078,7267,7723,3178,4428
13,2156,2157,14095,INDEPENDENCE AVENUE SW AND 6TH STREET SW//6TH STREET SW AND INDEPENDENCE AVENUE SW,-77.01990733,38.88756737,22316,24551,1092,280,8543,7534,10036,11869,2392,4551,253,317
14,6624,6625,-480,INDEPENDENCE AVENUE SW AND 12TH ST EXPRESSWAY NW,-77.02811572,38.88756655,19362,21543,1172,1083,3831,4023,7067,7518,5497,7062,1795,1857
15,2463,2464,14456,CONSTITUTION AVENUE NW AND 21ST STREET NW//21ST STREET NW AND CONSTITUTION AVENUE NW,-77.04667571,38.89210156,17223,21519,736,629,3961,5589,6128,6963,4649,6032,1749,2306
16,3724,3725,14967,INDEPENDENCE AVENUE SW AND 7TH STREET SW//7TH STREET SW AND INDEPENDENCE AVENUE SW,-77.02191568,38.8875632,20002,20995,1014,575,5806,4469,8882,9686,3634,5386,666,879
17,1996,1997,14774,INDIANA AVENUE NW AND 7TH STREET NW//7TH STREET NW AND INDIANA AVENUE NW,-77.02191088,38.89387727,14725,20551,851,1588,3168,4225,4957,7014,4369,5628,1380,2096
18,5556,5557,11776,CONSTITUTION AVENUE NW AND 22ND STREET NW//22ND STREET NW AND CONSTITUTION AVENUE NW,-77.048849,38.89210242,19961,20354,1001,546,5192,4803,6619,6931,4971,5621,2178,2453
19,5666,5667,19687,15TH STREET NW AND P STREET NW//P STREET NW AND 15TH STREET NW,-77.03455674,38.90964928,17171,19647,1385,2247,3015,3454,3838,4233,6209,6221,2724,3492
20,2868,2869,18678,14TH STREET NW AND RHODE ISLAND AVENUE NW//RHODE ISLAND AVENUE NW AND 14TH STREET NW,-77.03194927,38.9088381,16429,18544,1184,2140,2635,3083,3702,4074,5779,5675,3129,3572
